"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2644","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2631","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2660","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2759","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2752","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2821","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2971","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2975","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","3078","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","3078","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2805","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2805","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2805","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2673","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2659","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2691","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2691","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2725","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2718","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2708","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2708","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2680","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2618","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2646","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2646","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2709","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2699","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2658","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2658","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073541820","2.5","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073541820","2.5","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073541820","2.5","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Law","Current dollars","75","units","0","v1073541820","2.5","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2805","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2805","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2805","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2759","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2715","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2695","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2695","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2714","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2687","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2666","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2666","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2691","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2688","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2667","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2667","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2805","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2805","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2805","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2770","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2765","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2756","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2756","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073541821","2.10","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073541821","2.10","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073541821","2.10","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073541821","2.10","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399408","2.11","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399408","2.11","2780","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399408","2.11","2745","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399408","2.11","2766","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399408","2.11","2766","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073541822","2.12","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073541822","2.12","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073541822","2.12","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073541822","2.12","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","8250","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","10250","","","","0"
